Game,Date,Team,Home,Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
9,11/3/2018,LAL,0,Brandon Ingram\ingrabr01,33:03,3,10,.300,0,0,,2,4,.500,0,6,6,0,1,0,3,2,8,-13,.340,.300,.000,.400,0.0,15.3,8.7,0.0,1.3,0.0,20.3,18.3,56,104
9,11/3/2018,LAL,0,LeBron James\jamesle01,31:21,9,20,.450,1,5,.200,9,11,.818,0,5,5,7,0,2,3,1,28,-22,.564,.475,.250,.550,0.0,13.4,7.7,34.3,0.0,4.4,10.8,36.4,115,105
9,11/3/2018,LAL,0,Kyle Kuzma\kuzmaky01,28:35,5,10,.500,1,3,.333,1,3,.333,0,6,6,0,0,1,1,3,12,-15,.530,.550,.300,.300,0.0,17.7,10.1,0.0,0.0,2.4,8.1,17.7,97,105
9,11/3/2018,LAL,0,JaVale McGee\mcgeeja01,27:04,6,8,.750,0,0,,0,2,.000,3,6,9,1,1,6,2,3,12,-7,.676,.750,.000,.250,12.4,18.7,16.0,5.2,1.6,15.4,18.4,16.5,117,93
9,11/3/2018,LAL,0,Lonzo Ball\balllo01,18:50,1,6,.167,1,4,.250,0,0,,1,2,3,3,0,0,2,1,3,-16,.250,.250,.667,.000,5.9,8.9,7.6,18.0,0.0,0.0,25.0,17.4,66,110
9,11/3/2018,LAL,0,Rajon Rondo\rondora01,25:50,8,10,.800,1,1,1.000,0,0,,1,9,10,6,3,0,4,5,17,+28,.850,.850,.100,.000,4.3,29.3,18.6,37.0,5.2,0.0,28.6,22.2,128,91
9,11/3/2018,LAL,0,Josh Hart\hartjo01,25:18,3,3,1.000,2,2,1.000,3,4,.750,0,0,0,1,1,2,0,2,11,+17,1.155,1.333,.667,1.333,0.0,0.0,0.0,4.8,1.8,5.5,0.0,7.7,230,106
9,11/3/2018,LAL,0,Ivica Zubac\zubaciv01,19:40,4,5,.800,0,0,,1,1,1.000,4,4,8,0,1,0,2,3,9,+15,.827,.800,.000,.200,22.7,17.1,19.5,0.0,2.3,0.0,26.9,15.5,131,101
9,11/3/2018,LAL,0,Lance Stephenson\stephla01,15:14,3,10,.300,1,5,.200,0,0,,0,2,2,2,0,0,2,2,7,+15,.350,.350,.500,.000,0.0,11.1,6.3,17.7,0.0,0.0,16.7,32.3,69,109
9,11/3/2018,LAL,0,Kentavious Caldwell-Pope\caldwke01,15:05,3,4,.750,1,1,1.000,0,0,,0,1,1,0,2,0,1,0,7,+18,.875,.875,.250,.000,0.0,5.6,3.2,0.0,5.9,0.0,20.0,13.6,128,99
