Rk,Date,Tm,Home,Opp,Result,MP,ORtg,FTr,3PAr,TS%,eFG%,FT/FGA,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,ORB%,TRB%,AST%,STL%,BLK%,TOV%
1,10/17/2018,CLE,@,TOR,L 104-116,240,115.6,0.217,0.359,0.575,0.565,0.13,45,92,0.489,31,59,0.525,14,33,0.424,12,20,0.6,116,18.6,46.7,46.7,6,10.6,8.2
2,10/19/2018,CLE,@,MIN,L 123-131,240,126.7,0.402,0.287,0.64,0.563,0.379,44,87,0.506,34,62,0.548,10,25,0.4,33,35,0.943,131,23.1,48.2,63.6,8.7,10,11.3
3,10/21/2018,CLE,,ATL,L 111-133,240,125.5,0.194,0.48,0.625,0.602,0.153,48,98,0.49,26,51,0.51,22,47,0.468,15,19,0.789,133,20.9,47.3,66.7,8.5,9.7,10.1
4,10/24/2018,CLE,,BRK,L 86-102,240,107.4,0.172,0.391,0.545,0.517,0.138,38,87,0.437,24,53,0.453,14,34,0.412,12,15,0.8,102,17.8,45.4,60.5,8.4,1.4,13
5,10/25/2018,CLE,@,DET,L 103-110,240,115.3,0.372,0.359,0.606,0.596,0.218,41,78,0.526,30,50,0.6,11,28,0.393,17,29,0.586,110,36.1,61.5,51.2,4.2,7.7,18.1
6,10/27/2018,CLE,,IND,L 107-119,240,129.9,0.351,0.176,0.696,0.682,0.243,48,74,0.649,43,61,0.705,5,13,0.385,18,26,0.692,119,14.8,38.1,58.3,14.2,4.9,14.9
7,10/30/2018,CLE,,ATL,W 136-114,240,107.8,0.207,0.427,0.637,0.628,0.134,44,82,0.537,29,47,0.617,15,35,0.429,11,17,0.647,114,14.6,44.8,56.8,5.7,12.3,19.7
8,11/1/2018,CLE,,DEN,L 91-110,240,125.8,0.247,0.306,0.584,0.541,0.212,41,85,0.482,31,59,0.525,10,26,0.385,18,21,0.857,110,38.9,55.7,53.7,9.2,10.8,11.3
9,11/3/2018,CLE,@,CHO,L 94-126,240,130.4,0.143,0.33,0.651,0.626,0.132,52,91,0.571,42,61,0.689,10,30,0.333,12,13,0.923,126,34.3,65.8,55.8,3.1,12.7,13.4
10,11/5/2018,CLE,@,ORL,L 100-102,240,107.2,0.172,0.391,0.545,0.511,0.149,39,87,0.448,28,53,0.528,11,34,0.324,13,15,0.867,102,22.7,48.8,56.4,11.6,8.8,13.8
11,11/7/2018,CLE,,OKC,L 86-95,240,96.5,0.31,0.321,0.498,0.458,0.214,35,84,0.417,28,57,0.491,7,27,0.259,18,26,0.692,95,15.2,46.3,28.6,13.2,15.5,11.2
12,11/10/2018,CLE,@,CHI,L 98-99,240,104.8,0.256,0.22,0.543,0.518,0.171,39,82,0.476,32,64,0.5,7,18,0.389,14,21,0.667,99,11.6,41.8,51.3,7.4,7.1,10.8
13,11/13/2018,CLE,,CHO,W 113-89,240,93,0.2,0.432,0.431,0.389,0.158,33,95,0.347,25,54,0.463,8,41,0.195,15,19,0.789,89,20.7,38.1,66.7,12.5,6.6,8
14,11/14/2018,CLE,@,WAS,L 95-119,240,113.7,0.283,0.435,0.575,0.549,0.196,44,92,0.478,31,52,0.596,13,40,0.325,18,26,0.692,119,26.7,51.2,68.2,16.2,5.4,14.8
15,11/19/2018,CLE,@,DET,L 102-113,240,125.7,0.213,0.427,0.58,0.534,0.202,41,89,0.461,28,51,0.549,13,38,0.342,18,19,0.947,113,34.2,58.1,63.4,5.6,6.9,9.3
