Rk,Date,Tm,Home,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,ORtg,FTr,3PAr,TS%,eFG%,FT/FGA,ORB%,TRB%,AST%,STL%,BLK%,TOV%
1,10/17/2018,SAS,,MIN,W 112-108,240,39,91,0.429,33,72,0.458,6,19,0.316,24,27,0.889,108,112.7,0.297,0.209,0.525,0.462,0.264,29.8,46.9,51.3,9.4,2.9,9.7
2,10/20/2018,SAS,@,POR,L 108-121,240,45,84,0.536,30,52,0.577,15,32,0.469,16,19,0.842,121,129.1,0.226,0.381,0.655,0.625,0.19,24.2,53.5,53.3,5.3,4.3,11.5
3,10/22/2018,SAS,@,LAL,W 143-142 (OT),265,55,107,0.514,41,68,0.603,14,39,0.359,18,26,0.692,142,124.1,0.243,0.364,0.599,0.579,0.168,26,52.5,60,4.4,8.7,11.2
4,10/24/2018,SAS,,IND,L 96-116,240,46,87,0.529,29,55,0.527,17,32,0.531,7,8,0.875,116,124.9,0.092,0.368,0.641,0.626,0.08,13.9,46.5,73.9,9.7,7.4,9.9
5,10/27/2018,SAS,,LAL,W 110-106,240,41,86,0.477,28,53,0.528,13,33,0.394,11,18,0.611,106,104.3,0.209,0.384,0.564,0.552,0.128,15.9,46.2,46.3,4.9,6.7,15.3
6,10/29/2018,SAS,,DAL,W 113-108 (OT),265,43,91,0.473,33,57,0.579,10,34,0.294,12,17,0.706,108,97.7,0.187,0.374,0.548,0.527,0.132,18.2,54.4,34.9,8.1,4.2,18.3
7,10/31/2018,SAS,@,PHO,W 120-90,240,35,90,0.389,29,66,0.439,6,24,0.25,14,18,0.778,90,88.2,0.2,0.267,0.46,0.422,0.156,14.6,42.7,60,9.8,4.6,13.3
8,11/3/2018,SAS,,NOP,W 109-95,240,36,77,0.468,30,56,0.536,6,21,0.286,17,30,0.567,95,94.8,0.39,0.273,0.527,0.506,0.221,14.6,52.7,61.1,3,11,15.1
9,11/4/2018,SAS,,ORL,L 110-117,240,46,91,0.505,34,59,0.576,12,32,0.375,13,18,0.722,117,122.9,0.198,0.352,0.591,0.571,0.143,25,50,63,7.4,7.5,7.5
10,11/7/2018,SAS,@,MIA,L 88-95,240,36,93,0.387,26,61,0.426,10,32,0.313,13,18,0.722,95,97.9,0.194,0.344,0.471,0.441,0.14,27.5,55,58.3,8.2,17.7,11.4
11,11/10/2018,SAS,,HOU,W 96-89,240,30,90,0.333,21,49,0.429,9,41,0.22,20,29,0.69,89,97.3,0.322,0.456,0.433,0.383,0.222,28.3,51.6,36.7,10.9,9.3,7.2
12,11/12/2018,SAS,@,SAC,L 99-104,240,43,86,0.5,32,62,0.516,11,24,0.458,7,12,0.583,104,107.6,0.14,0.279,0.57,0.564,0.081,17.1,51.1,62.8,12.4,5.4,11.6
13,11/14/2018,SAS,@,PHO,L 96-116,240,47,84,0.56,32,53,0.604,15,31,0.484,7,8,0.875,116,119.8,0.095,0.369,0.663,0.649,0.083,14.3,46.9,57.4,9.3,6.7,15.5
14,11/15/2018,SAS,@,LAC,L 111-116,240,40,85,0.471,32,62,0.516,8,23,0.348,28,35,0.8,116,116.3,0.412,0.271,0.578,0.518,0.329,23.1,52.6,57.5,2,4.1,10.7
15,11/18/2018,SAS,,GSW,W 104-92,240,35,86,0.407,30,60,0.5,5,26,0.192,17,21,0.81,92,96.9,0.244,0.302,0.483,0.436,0.198,21.3,48.9,57.1,6.3,5.9,10.4
16,11/19/2018,SAS,@,NOP,L 126-140,240,59,102,0.578,49,76,0.645,10,26,0.385,12,14,0.857,140,138.6,0.137,0.255,0.647,0.627,0.118,35,48.8,57.6,9.9,7.1,8.5
17,11/21/2018,SAS,,MEM,L 103-104,240,39,81,0.481,31,56,0.554,8,25,0.32,18,21,0.857,104,112.7,0.259,0.309,0.576,0.531,0.222,10.8,48.2,53.8,4.3,11.7,9.1
18,11/23/2018,SAS,@,IND,W 111-100,240,46,99,0.465,43,75,0.573,3,24,0.125,5,9,0.556,100,100,0.091,0.242,0.486,0.48,0.051,22.9,49.5,67.4,9,3.2,10.4
19,11/24/2018,SAS,@,MIL,L 129-135,240,49,86,0.57,34,46,0.739,15,40,0.375,22,29,0.759,135,129.9,0.337,0.465,0.683,0.657,0.256,16.7,51.3,61.2,6.7,4.2,11.6
20,11/26/2018,SAS,@,CHI,W 108-107,240,42,90,0.467,28,57,0.491,14,33,0.424,9,11,0.818,107,108,0.122,0.367,0.564,0.544,0.1,11.4,48.3,54.8,6.1,7.9,10.4
21,11/28/2018,SAS,@,MIN,L 89-128,240,50,99,0.505,32,58,0.552,18,41,0.439,10,15,0.667,128,131.8,0.152,0.414,0.606,0.596,0.101,27.7,51.1,66,12.4,10,7
22,11/30/2018,SAS,,HOU,L 105-136,240,49,98,0.5,27,44,0.614,22,54,0.407,16,20,0.8,136,141.1,0.204,0.551,0.637,0.612,0.163,28.9,54.4,65.3,9.3,10.3,4.5
23,12/2/2018,SAS,,POR,W 131-118,240,45,86,0.523,33,57,0.579,12,29,0.414,16,16,1,118,119.7,0.186,0.337,0.634,0.593,0.186,23.7,50.7,55.6,6.1,7.4,15.4
24,12/4/2018,SAS,@,UTA,L 105-139,240,51,84,0.607,31,51,0.608,20,33,0.606,17,20,0.85,139,135.2,0.238,0.393,0.749,0.726,0.202,16.7,56.8,74.5,11.7,7.4,15.5
